0	0	0	0	-16.45	-16.15	-15.55	-15.85	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	2.4279	13.73	0.02	0	23	229.6	14.371	17.583	15.204	13.485	12.256	11.139	9.6887	8.8181	8.1491	7.1653	6.2604	5.2289	4.4563	3.7817	3.0177	2.3419	1.831	1.4696	1.1499	0.85868	0.55766	0.1947	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05	0.05001	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-14.95	-15.25	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.23483	13.28	0.02	0	23	1148.7	-35.371	17.995	10.453	8.6311	7.4205	6.5464	5.6936	5.2996	5.873	5.7234	4.8579	3.7753	3.3696	3.2874	3.079	2.7975	2.5008	2.2281	1.903	1.4827	0.98189	0.34634	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05	0.05436	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-15.25	-15.55	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.7413	16.77	0.02	0	23	457.17	1.1735	12.029	9.7464	8.5817	7.7835	7.0662	6.0899	5.5942	5.359	4.7615	4.0377	3.1991	2.6467	2.221	1.703	1.22	0.84377	0.58333	0.36448	0.20438	0.0882	0.0152	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05002	0.05	0.05017	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-14.65	-14.95	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.03083	3.487	0.02	0	23	8145.7	-242.69	138.44	77.4	67.574	61.994	57.556	53.19	51.953	56.881	56.005	49.286	40.475	36.27	33.9	30.052	26.051	21.928	18.083	13.867	9.5687	5.2986	1.5236	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05006	0.23361	0.05019	0.05017	0.05017	0.05016	0.05017	0.05016	0.05022	0.05017	0.05016	0.05015	0.05015	0.05015	0.05014	0.05014	0.05014	0.05014	0.05013	0.05013	0.05013	0.05013	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-14.05	-14.35	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.00964	3.053	0.02	0	23	26803	-867.94	284.05	89.963	62.754	46.298	35.703	29.263	28.184	49.557	54.16	38.651	18.206	11.868	12.905	11.771	10.631	9.0102	7.7697	6.2807	4.3992	2.3853	0.50574	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05	1.1987	0.05013	0.05006	0.05006	0.05006	0.05005	0.05004	0.0508	0.05014	0.05004	0.05005	0.05004	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-14.35	-14.65	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.01053	2.084	0.02	0	23	14254	7339.9	287.06	105.28	76.184	60.119	49.887	40.992	38.281	56.901	59.205	44.244	23.585	16.566	15.814	13.417	10.76	7.9496	6.2959	4.5499	2.7079	1.4308	0.42745	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05	0.31243	0.05048	0.05003	0.05004	0.05006	0.05005	0.05002	0.05056	0.05009	0.05002	0.05003	0.05002	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	0	0	-16.45	-16.15	-13.75	-14.05	6191133.725	6191133.725	6191133.725	6191133.725	711329.911	711329.911	711329.911	711329.911	0	0	0	0	0.01672	7.942	0.02	0	23	14664	-331.46	204.7	74.111	57.091	46.694	39.712	33.397	31.727	42.527	43.669	33.964	21.563	17.063	16.58	14.716	12.832	10.789	8.8061	6.7966	4.5671	2.4235	0.7493	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05001	0.56939	0.05004	0.05009	0.05004	0.05003	0.05005	0.05003	0.05026	0.05006	0.05003	0.05004	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.20006	4	1900	100	0	0	1871.6	1911.6
0	0	2.76091	2.76091	-16.45	-15.85	-18.1	-17.5	6191133.725	6191133.725	6191134.684	6191134.684	711329.911	711329.911	711332.5	711332.5	0	0	0	0	0.01651	41.46	0.02	0	23	-15122	-96.595	-395.09	-161.39	-85.147	-45.864	-19.028	-1.3513	7.5534	9.4721	-10.284	-11.728	7.8247	19.135	18.067	16.659	15.306	13.976	11.859	8.6967	5.6361	3.3772	1.3398	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05001	0.17137	0.05014	0.05003	0.05002	0.05001	0.05002	0.05002	0.05006	0.05031	0.05014	0.05003	0.05003	0.05002	0.05002	0.05002	0.05002	0.05002	0.05002	0.05002	0.05001	0.05002	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0.19998	4	1900	100	0	0	1871.6	1911.6
0	0	2.76091	2.76091	-16.45	-15.85	-17.5	-16.9	6191133.725	6191133.725	6191134.684	6191134.684	711329.911	711329.911	711332.5	711332.5	0	0	0	0	0.01678	12.12	0.02	0	23	-14233	613.3	-98.368	-6.8566	6.8247	14.778	21.102	23.496	24.461	21.987	5.3275	4.7581	16.87	22.387	19.971	18.009	16.171	14.288	11.864	9.055	6.0217	3.262	0.93223	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05054	0.24203	0.05003	0.05003	0.05003	0.05004	0.05004	0.05003	0.05005	0.05023	0.05006	0.05004	0.05004	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	0.05003	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0.19998	4	1900	100	0	0	1871.6	1911.6
0	0	2.76091	2.76091	-16.45	-15.85	-16.9	-16.3	6191133.725	6191133.725	6191134.684	6191134.684	711329.911	711329.911	711332.5	711332.5	0	0	0	0	0.01593	6.784	0.02	0	23	-14689	539.65	-97.839	-0.09671	11.941	18.403	23.473	24.847	24.087	21.012	3.9077	1.5775	13.432	18.143	15.403	12.735	10.882	9.5088	7.9865	5.8673	3.9392	2.4468	0.97784	1	0.26	0.53	0.8	1.06	1.33	2.13	2.93	4	5.33	7.46	10.4	14.4	20	20	40	60	80	100	140	200	280	380	540	0.05	0.05107	0.23237	0.05001	0.05004	0.05001	0.05001	0.05001	0.05001	0.05003	0.05019	0.05005	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	0.05001	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0.19998	4	1900	100	0	0	1871.6	1911.6
